City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Ponta Delgada,37.7333,-25.6667,73.51,83,75,10.36,broken clouds
314,Kununurra,-15.7667,128.7333,73.38,88,100,13.8,light rain
315,Yatou,37.15,122.3833,70.27,98,100,23.24,moderate rain
316,South Lake Tahoe,38.9332,-119.9844,62.49,48,0,4.61,clear sky
317,San Ramon,37.7799,-121.978,65.57,80,0,12.66,clear sky
318,Kirakira,-10.4544,161.9205,83.86,73,88,6.6,overcast clouds
319,Anahuac,27.2333,-100.15,80.29,39,35,13.27,scattered clouds
320,Albanel,48.8832,-72.4487,37.54,75,3,6.91,clear sky
321,Pipri,19.8,75.5333,74.34,79,33,7.78,scattered clouds
322,Geraldton,-28.7667,114.6,73.81,43,6,9.22,clear sky
323,Maracaibo,10.6317,-71.6406,76.5,85,27,5.59,scattered clouds
324,Pochutla,15.7432,-96.4661,77.83,93,44,3.69,scattered clouds
325,Pacifica,37.6138,-122.4869,64.72,87,40,12.66,scattered clouds
326,Mugur-Aksy,50.35,90.5,15.76,52,2,1.28,clear sky
327,Ocampo,21.65,-101.5,54.12,53,90,12.95,overcast clouds
328,Hirara,24.8,125.2833,86.27,70,40,10.36,scattered clouds
329,Awjilah,29.1081,21.2869,86.05,21,0,7.36,clear sky
330,Sao Filipe,14.8961,-24.4956,77.9,74,23,9.48,few clouds
331,San Juan,-31.5375,-68.5364,71.58,32,0,5.66,clear sky
332,Mount Gambier,-37.8333,140.7667,67.14,54,100,2.57,overcast clouds
333,Gigmoto,13.7796,124.39,85.08,76,100,11.41,overcast clouds
334,Charters Towers,-20.1,146.2667,82.09,39,95,5.68,overcast clouds
335,San Jeronimo,-11.9472,-75.2829,51.84,70,84,3.11,broken clouds
336,Kalyazin,57.2403,37.8433,52.81,93,100,13.96,overcast clouds
337,Airai,-8.9266,125.4092,73.8,64,41,1.28,scattered clouds
338,Porto Novo,6.4965,2.6036,78.62,92,91,3.69,light rain
339,Nabisar,25.0685,69.6419,78.48,77,0,11.74,clear sky
340,Newport,51.5877,-2.9984,59.77,83,100,7.52,light rain
341,Masuguru,-11.3667,38.4167,68.25,77,1,2.73,clear sky
342,Ahipara,-35.1667,173.1667,61.66,91,84,11.27,broken clouds
343,Cabo San Lucas,22.8909,-109.9124,84.61,74,0,9.22,clear sky
344,Don Sak,9.3168,99.6918,85.89,69,100,11.7,overcast clouds
345,Anloga,5.7947,0.8973,76.96,87,90,10.2,light rain
346,Mar Del Plata,-38.0023,-57.5575,58.95,81,0,6.91,clear sky
347,Matara,5.9485,80.5353,79.99,82,99,14.74,overcast clouds
348,Teya,60.3778,92.6267,29.88,78,100,7.16,overcast clouds
349,San Angelo,31.4638,-100.437,78.55,31,0,8.99,clear sky
350,Bilibino,68.0546,166.4372,33.73,74,100,1.48,overcast clouds
351,Woodway,31.506,-97.205,72.1,36,0,6.91,clear sky
352,Ostersund,63.1792,14.6357,46.85,100,100,6.91,overcast clouds
353,Eyl,7.9803,49.8164,75.9,82,91,16.49,overcast clouds
354,Sept-Iles,50.2001,-66.3821,42.8,67,20,8.05,few clouds
355,Maroantsetra,-15.4333,49.7333,64.49,90,76,2.71,light rain
356,Ouadda,8.0777,22.4007,67.44,95,100,0.96,moderate rain
357,Bansko,41.8383,23.4885,60.75,100,31,4.92,scattered clouds
358,Sinjar,36.3209,41.8754,76.08,20,0,3.04,clear sky
359,Nieves,15.3274,120.9485,87.31,71,81,2.77,heavy intensity rain
360,Oktyabrskiy,54.4815,53.471,49.26,56,99,10.07,overcast clouds
361,Dunedin,-45.8742,170.5036,47.91,87,100,10.11,overcast clouds
362,Kahului,20.8947,-156.47,86.02,68,40,14.97,scattered clouds
363,Ilembo,-9.25,33.3833,50.86,95,51,3.83,broken clouds
364,Chabahar,25.2919,60.643,79.29,76,0,3.74,clear sky
365,Puerto El Triunfo,13.2833,-88.55,76.39,93,100,5.41,overcast clouds
366,Longyearbyen,78.2186,15.6401,35.44,93,75,1.14,broken clouds
367,Kijang,35.2442,129.2139,78.53,54,98,3.87,overcast clouds
368,Celestun,20.8667,-90.4,77.61,63,51,7.45,broken clouds
369,Fort Wellington,6.4,-57.6,80.44,83,12,9.73,few clouds
370,Kodiak,57.79,-152.4072,53.11,82,100,3.44,overcast clouds
